domain,canonical_url,category,source,selection_method,selection_timestamp
jhu.edu,https://jhu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
kcl.ac.uk,https://kcl.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ki.se,https://ki.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
kit.edu,https://kit.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
kth.se,https://kth.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ku.dk,https://ku.dk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ku.edu,https://ku.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
leeds.ac.uk,https://leeds.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
lehigh.edu,https://lehigh.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
leidenuniv.nl,https://leidenuniv.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
lmu.de,https://lmu.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
louisville.edu,https://louisville.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
lsu.edu,https://lsu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
lu.se,https://lu.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
maastrichtuniversity.nl,https://maastrichtuniversity.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
maine.edu,https://maine.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
manchester.ac.uk,https://manchester.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
mcgill.ca,https://mcgill.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
miami.edu,https://miami.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
mit.edu,https://mit.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
monash.edu.au,https://monash.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
nd.edu,https://nd.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
nebraska.edu,https://nebraska.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
northeastern.edu,https://northeastern.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
northwestern.edu,https://northwestern.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
nottingham.ac.uk,https://nottingham.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ntnu.no,https://ntnu.no,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
nyu.edu,https://nyu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
olemiss.edu,https://olemiss.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
oregonstate.edu,https://oregonstate.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
osu.edu,https://osu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ou.edu,https://ou.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ox.ac.uk,https://ox.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
polimi.it,https://polimi.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
polytechnique.edu,https://polytechnique.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
princeton.edu,https://princeton.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
psl.eu,https://psl.eu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
psu.edu,https://psu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
purdue.edu,https://purdue.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
radboudumc.nl,https://radboudumc.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rice.edu,https://rice.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rochester.edu,https://rochester.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rpi.edu,https://rpi.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rug.nl,https://rug.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rutgers.edu,https://rutgers.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
rwth-aachen.de,https://rwth-aachen.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
sheffield.ac.uk,https://sheffield.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
sorbonne-universite.fr,https://sorbonne-universite.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
soton.ac.uk,https://soton.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
st-andrews.ac.uk,https://st-andrews.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
stanford.edu,https://stanford.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
su.se,https://su.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
sydney.edu.au,https://sydney.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
syracuse.edu,https://syracuse.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tamu.edu,https://tamu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tudelft.nl,https://tudelft.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tue.nl,https://tue.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tufts.edu,https://tufts.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tulane.edu,https://tulane.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tum.de,https://tum.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
tuni.fi,https://tuni.fi,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
u-bordeaux.fr,https://u-bordeaux.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
u-bourgogne.fr,https://u-bourgogne.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
u-paris.fr,https://u-paris.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
u-picardie.fr,https://u-picardie.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
u-strasbg.fr,https://u-strasbg.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ua.edu,https://ua.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uab.cat,https://uab.cat,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ualberta.ca,https://ualberta.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uam.es,https://uam.es,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uark.edu,https://uark.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ub.edu,https://ub.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ubc.ca,https://ubc.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uc3m.es,https://uc3m.es,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ucdavis.edu,https://ucdavis.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uchicago.edu,https://uchicago.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uci.edu,https://uci.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ucl.ac.uk,https://ucl.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ucla.edu,https://ucla.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uconn.edu,https://uconn.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ucsd.edu,https://ucsd.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
udel.edu,https://udel.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
ufl.edu,https://ufl.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uga.edu,https://uga.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uib.no,https://uib.no,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uio.no,https://uio.no,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uiuc.edu,https://uiuc.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uky.edu,https://uky.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umass.edu,https://umass.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umd.edu,https://umd.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umich.edu,https://umich.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umn.edu,https://umn.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umontreal.ca,https://umontreal.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
umu.se,https://umu.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unc.edu,https://unc.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unh.edu,https://unh.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uni-bonn.de,https://uni-bonn.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uni-freiburg.de,https://uni-freiburg.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uni-goettingen.de,https://uni-goettingen.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uni-heidelberg.de,https://uni-heidelberg.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uni-tuebingen.de,https://uni-tuebingen.de,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unibo.it,https://unibo.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unifi.it,https://unifi.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unimelb.edu.au,https://unimelb.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unimi.it,https://unimi.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unina.it,https://unina.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unipd.it,https://unipd.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unipi.it,https://unipi.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uniroma1.it,https://uniroma1.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unito.it,https://unito.it,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-ag.fr,https://univ-ag.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-amu.fr,https://univ-amu.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-angers.fr,https://univ-angers.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-brest.fr,https://univ-brest.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-corse.fr,https://univ-corse.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-fcomte.fr,https://univ-fcomte.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-grenoble-alpes.fr,https://univ-grenoble-alpes.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-lemans.fr,https://univ-lemans.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-lille.fr,https://univ-lille.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-lorraine.fr,https://univ-lorraine.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-lyon1.fr,https://univ-lyon1.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-montp3.fr,https://univ-montp3.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-nc.nc,https://univ-nc.nc,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-pau.fr,https://univ-pau.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-perp.fr,https://univ-perp.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-pf.pf,https://univ-pf.pf,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-poitiers.fr,https://univ-poitiers.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-reims.fr,https://univ-reims.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-rennes1.fr,https://univ-rennes1.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-reunion.fr,https://univ-reunion.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-rouen.fr,https://univ-rouen.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-tlse3.fr,https://univ-tlse3.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
univ-tours.fr,https://univ-tours.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
universite-paris-saclay.fr,https://universite-paris-saclay.fr,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
unsw.edu.au,https://unsw.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uoregon.edu,https://uoregon.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
upc.edu,https://upc.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
upenn.edu,https://upenn.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uq.edu.au,https://uq.edu.au,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uri.edu,https://uri.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
usc.edu,https://usc.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
utah.edu,https://utah.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
utexas.edu,https://utexas.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
utk.edu,https://utk.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
utoronto.ca,https://utoronto.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
utwente.nl,https://utwente.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uu.nl,https://uu.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uu.se,https://uu.se,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uva.nl,https://uva.nl,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uvm.edu,https://uvm.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
uwaterloo.ca,https://uwaterloo.ca,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
vanderbilt.edu,https://vanderbilt.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
virginia.edu,https://virginia.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
warwick.ac.uk,https://warwick.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
washington.edu,https://washington.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
wisc.edu,https://wisc.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
wsu.edu,https://wsu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
wvu.edu,https://wvu.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
yale.edu,https://yale.edu,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
york.ac.uk,https://york.ac.uk,Universities,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
admin.ch,https://admin.ch,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-001.gov.uk,https://agency-001.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-003.gov.uk,https://agency-003.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-005.gov.uk,https://agency-005.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-007.gov.uk,https://agency-007.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-009.gov.uk,https://agency-009.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-011.gov.uk,https://agency-011.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-013.gov.uk,https://agency-013.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
agency-015.gov.uk,https://agency-015.gov.uk,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
alabama.gov,https://alabama.gov,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
alaska.gov,https://alaska.gov,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
aph.gov.au,https://aph.gov.au,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
archives.gov,https://archives.gov,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
argentina.gob.ar,https://argentina.gob.ar,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
arkansas.gov,https://arkansas.gov,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
assemblee-nationale.fr,https://assemblee-nationale.fr,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
australia.gov.au,https://australia.gov.au,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
az.gov,https://az.gov,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
bcn.cl,https://bcn.cl,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
belgium.be,https://belgium.be,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
bfs.admin.ch,https://bfs.admin.ch,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
bka.de,https://bka.de,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
boe.es,https://boe.es,Government,public_curated_registry,deterministic_sample_seed_42,2026-08-17T19:48:05.066232+00:00
