study_id,domain,category,canonical_url,source_type,source_name,source_reference
study-0110,ssa.gov,Government,https://ssa.gov,OFFICIAL_SOURCE,Social Security,US Executive
study-0111,stat.fi,Government,https://stat.fi,OFFICIAL_SOURCE,Stat Finland,Finland Statistics
study-0112,stat.go.jp,Government,https://stat.go.jp,OFFICIAL_SOURCE,Statistics Japan,Japan Statistics
study-0113,state.gov,Government,https://state.gov,OFFICIAL_SOURCE,Department of State,US Cabinet
study-0114,stortinget.no,Government,https://stortinget.no,OFFICIAL_SOURCE,Stortinget Norway,Norway Legislative
study-0115,supremecourt.gov,Government,https://supremecourt.gov,OFFICIAL_SOURCE,US Supreme Court,US Judicial
study-0116,treasury.gov.au,Government,https://treasury.gov.au,OFFICIAL_SOURCE,Australian Treasury,Australia Federal
study-0117,uspto.gov,Government,https://uspto.gov,OFFICIAL_SOURCE,USPTO,US Executive
study-0118,valtioneuvosto.fi,Government,https://valtioneuvosto.fi,OFFICIAL_SOURCE,Valtioneuvosto Finland,Finland Executive
study-0119,vlada.cz,Government,https://vlada.cz,OFFICIAL_SOURCE,Vlada Czech,Czech Executive
study-0120,wisconsin.gov,Government,https://wisconsin.gov,OFFICIAL_SOURCE,Wisconsin,US State
study-0121,acm.org,Nonprofits,https://acm.org,PUBLIC_DIRECTORY,ACM,Computing Society
study-0122,amnesty.org,Nonprofits,https://amnesty.org,PUBLIC_DIRECTORY,Amnesty International,Human Rights NGO
study-0123,broadinstitute.org,Nonprofits,https://broadinstitute.org,PUBLIC_DIRECTORY,Broad Institute,Genomics Research
study-0124,brookings.edu,Nonprofits,https://brookings.edu,PUBLIC_DIRECTORY,Brookings,Think Tank
study-0125,cancerresearchuk.org,Nonprofits,https://cancerresearchuk.org,PUBLIC_DIRECTORY,Cancer Research UK,Medical Charity
study-0126,carlsbergfondet.dk,Nonprofits,https://carlsbergfondet.dk,PUBLIC_DIRECTORY,Carlsberg Foundation,Danish Science Trust
study-0127,ceps.eu,Nonprofits,https://ceps.eu,PUBLIC_DIRECTORY,CEPS,Think Tank
study-0128,cern.ch,Nonprofits,https://cern.ch,PUBLIC_DIRECTORY,CERN,Physics Lab
study-0129,chathamhouse.org,Nonprofits,https://chathamhouse.org,PUBLIC_DIRECTORY,Chatham House,Think Tank
study-0130,conservation.org,Nonprofits,https://conservation.org,PUBLIC_DIRECTORY,Conservation International,Biodiversity
study-0131,cpj.org,Nonprofits,https://cpj.org,PUBLIC_DIRECTORY,CPJ,Press Freedom NGO
study-0132,csis.org,Nonprofits,https://csis.org,PUBLIC_DIRECTORY,CSIS,Think Tank
study-0133,doaj.org,Nonprofits,https://doaj.org,PUBLIC_DIRECTORY,DOAJ,Journal Directory
study-0134,doctorswithoutborders.org,Nonprofits,https://doctorswithoutborders.org,PUBLIC_DIRECTORY,MSF,Medical NGO
study-0135,eclipse.org,Nonprofits,https://eclipse.org,PUBLIC_DIRECTORY,Eclipse Foundation,Software Foundation
study-0136,fredhutch.org,Nonprofits,https://fredhutch.org,PUBLIC_DIRECTORY,Fred Hutch,Cancer Research
study-0137,ieee.org,Nonprofits,https://ieee.org,PUBLIC_DIRECTORY,IEEE,Engineering Society
study-0138,imf.org,Nonprofits,https://imf.org,PUBLIC_DIRECTORY,IMF,Financial Institution
study-0139,kb.nl,Nonprofits,https://kb.nl,PUBLIC_DIRECTORY,KB Netherlands,National Library
study-0140,kresge.org,Nonprofits,https://kresge.org,PUBLIC_DIRECTORY,Kresge Foundation,Community Foundation
study-0141,macfound.org,Nonprofits,https://macfound.org,PUBLIC_DIRECTORY,MacArthur Foundation,Philanthropy
study-0142,massgeneral.org,Nonprofits,https://massgeneral.org,PUBLIC_DIRECTORY,Mass General,Research Hospital
study-0143,moma.org,Nonprofits,https://moma.org,PUBLIC_DIRECTORY,MoMA,Modern Art Museum
study-0144,netbsdfoundation.org,Nonprofits,https://netbsdfoundation.org,PUBLIC_DIRECTORY,NetBSD Foundation,Operating System
study-0145,okfn.org,Nonprofits,https://okfn.org,PUBLIC_DIRECTORY,Open Knowledge Foundation,Open Data NGO
study-0146,openapis.org,Nonprofits,https://openapis.org,PUBLIC_DIRECTORY,OpenAPI Initiative,API Standards Consortium
study-0147,perlfoundation.org,Nonprofits,https://perlfoundation.org,PUBLIC_DIRECTORY,The Perl Foundation,Language Foundation
study-0148,pewresearch.org,Nonprofits,https://pewresearch.org,PUBLIC_DIRECTORY,Pew Research,Fact Tank
study-0149,prado.es,Nonprofits,https://prado.es,PUBLIC_DIRECTORY,Museo del Prado,National Museum
study-0150,propublica.org,Nonprofits,https://propublica.org,PUBLIC_DIRECTORY,ProPublica,Journalism NGO
study-0151,rijksmuseum.nl,Nonprofits,https://rijksmuseum.nl,PUBLIC_DIRECTORY,Rijksmuseum,National Museum
study-0152,rotary.org,Nonprofits,https://rotary.org,PUBLIC_DIRECTORY,Rotary International,Service Org
study-0153,rsf.org,Nonprofits,https://rsf.org,PUBLIC_DIRECTORY,RSF,Press Freedom NGO
study-0154,rust-foundation.org,Nonprofits,https://rust-foundation.org,PUBLIC_DIRECTORY,Rust Foundation,Language Foundation
study-0155,rwjf.org,Nonprofits,https://rwjf.org,PUBLIC_DIRECTORY,RWJF,Health Philanthropy
study-0156,salk.edu,Nonprofits,https://salk.edu,PUBLIC_DIRECTORY,Salk Institute,Biological Research
study-0157,scripps.edu,Nonprofits,https://scripps.edu,PUBLIC_DIRECTORY,Scripps Research,Biomedical Research
study-0158,sierraclub.org,Nonprofits,https://sierraclub.org,PUBLIC_DIRECTORY,Sierra Club,Environmental NGO
study-0159,smithsonian.org,Nonprofits,https://smithsonian.org,PUBLIC_DIRECTORY,Smithsonian Institution,Museum Complex
study-0160,stjude.org,Nonprofits,https://stjude.org,PUBLIC_DIRECTORY,St Jude,Children's Hospital
study-0161,unhcr.org,Nonprofits,https://unhcr.org,PUBLIC_DIRECTORY,UNHCR,UN Refugee Agency
study-0162,w3.org,Nonprofits,https://w3.org,PUBLIC_DIRECTORY,W3C,Web Standards Body
study-0163,who.int,Nonprofits,https://who.int,PUBLIC_DIRECTORY,World Health Organization,UN Agency
study-0164,wmo.int,Nonprofits,https://wmo.int,PUBLIC_DIRECTORY,WMO,UN Weather Agency
study-0165,worldwildlife.org,Nonprofits,https://worldwildlife.org,PUBLIC_DIRECTORY,WWF,Conservation NGO
study-0166,3m.com,Long-running companies,https://3m.com,OFFICIAL_SOURCE,3M,Founded 1902
study-0167,amd.com,Long-running companies,https://amd.com,OFFICIAL_SOURCE,AMD,Founded 1969
study-0168,apple.com,Long-running companies,https://apple.com,OFFICIAL_SOURCE,Apple,Founded 1976
study-0169,baesystems.com,Long-running companies,https://baesystems.com,OFFICIAL_SOURCE,BAE Systems,Founded 1999
study-0170,basf.com,Long-running companies,https://basf.com,OFFICIAL_SOURCE,BASF,Founded 1865
study-0171,bbc.co.uk,Long-running companies,https://bbc.co.uk,OFFICIAL_SOURCE,BBC,Founded 1922
study-0172,bioware.com,Long-running companies,https://bioware.com,OFFICIAL_SOURCE,BioWare,Founded 1995
study-0173,blizzard.com,Long-running companies,https://blizzard.com,OFFICIAL_SOURCE,Blizzard,Founded 1991
study-0174,bp.com,Long-running companies,https://bp.com,OFFICIAL_SOURCE,BP,Founded 1909
study-0175,bungie.net,Long-running companies,https://bungie.net,OFFICIAL_SOURCE,Bungie,Founded 1991
study-0176,bway.net,Long-running companies,https://bway.net,OFFICIAL_SOURCE,Bway.net,Founded 1995
study-0177,caterpillar.com,Long-running companies,https://caterpillar.com,OFFICIAL_SOURCE,Caterpillar,Founded 1925
study-0178,chevron.com,Long-running companies,https://chevron.com,OFFICIAL_SOURCE,Chevron,Founded 1879
study-0179,danone.com,Long-running companies,https://danone.com,OFFICIAL_SOURCE,Danone,Founded 1919
study-0180,dell.com,Long-running companies,https://dell.com,OFFICIAL_SOURCE,Dell,Founded 1984
study-0181,dupont.com,Long-running companies,https://dupont.com,OFFICIAL_SOURCE,DuPont,Founded 1802
study-0182,ea.com,Long-running companies,https://ea.com,OFFICIAL_SOURCE,Electronic Arts,Founded 1982
study-0183,elsevier.com,Long-running companies,https://elsevier.com,OFFICIAL_SOURCE,Elsevier,Founded 1880
study-0184,equinor.com,Long-running companies,https://equinor.com,OFFICIAL_SOURCE,Equinor,Founded 1972
study-0185,fujitsu.com,Long-running companies,https://fujitsu.com,OFFICIAL_SOURCE,Fujitsu,Founded 1935
study-0186,gateway.com,Long-running companies,https://gateway.com,OFFICIAL_SOURCE,Gateway,Founded 1985
study-0187,glencore.com,Long-running companies,https://glencore.com,OFFICIAL_SOURCE,Glencore,Founded 1974
study-0188,honeywell.com,Long-running companies,https://honeywell.com,OFFICIAL_SOURCE,Honeywell,Founded 1906
study-0189,hp.com,Long-running companies,https://hp.com,OFFICIAL_SOURCE,HP,Founded 1939
study-0190,ibm.com,Long-running companies,https://ibm.com,OFFICIAL_SOURCE,IBM,Founded 1911
study-0191,kraftheinzcompany.com,Long-running companies,https://kraftheinzcompany.com,OFFICIAL_SOURCE,Kraft Heinz,Founded 1869
study-0192,medtronic.com,Long-running companies,https://medtronic.com,OFFICIAL_SOURCE,Medtronic,Founded 1949
study-0193,mercedes-benz.com,Long-running companies,https://mercedes-benz.com,OFFICIAL_SOURCE,Mercedes-Benz,Founded 1926
study-0194,microprose.com,Long-running companies,https://microprose.com,OFFICIAL_SOURCE,MicroProse,Founded 1982
study-0195,mondelezinternational.com,Long-running companies,https://mondelezinternational.com,OFFICIAL_SOURCE,Mondelez,Founded 1923
study-0196,nec.com,Long-running companies,https://nec.com,OFFICIAL_SOURCE,NEC,Founded 1899
study-0197,nestle.com,Long-running companies,https://nestle.com,OFFICIAL_SOURCE,Nestle,Founded 1866
study-0198,nintendo.com,Long-running companies,https://nintendo.com,OFFICIAL_SOURCE,Nintendo,Founded 1889
study-0199,northropgrumman.com,Long-running companies,https://northropgrumman.com,OFFICIAL_SOURCE,Northrop Grumman,Founded 1939
study-0200,philips.com,Long-running companies,https://philips.com,OFFICIAL_SOURCE,Philips,Founded 1891
study-0201,roche.com,Long-running companies,https://roche.com,OFFICIAL_SOURCE,Roche,Founded 1896
study-0202,sega.com,Long-running companies,https://sega.com,OFFICIAL_SOURCE,SEGA,Founded 1960
study-0203,shell.com,Long-running companies,https://shell.com,OFFICIAL_SOURCE,Shell,Founded 1907
study-0204,siemens.com,Long-running companies,https://siemens.com,OFFICIAL_SOURCE,Siemens,Founded 1847
study-0205,sierra.com,Long-running companies,https://sierra.com,OFFICIAL_SOURCE,Sierra On-Line,Founded 1979
study-0206,tandem.com,Long-running companies,https://tandem.com,OFFICIAL_SOURCE,Tandem,Founded 1974
study-0207,telstra.com.au,Long-running companies,https://telstra.com.au,OFFICIAL_SOURCE,Telstra,Australian Telecom
study-0208,ti.com,Long-running companies,https://ti.com,OFFICIAL_SOURCE,Texas Instruments,Founded 1930
study-0209,toshiba.com,Long-running companies,https://toshiba.com,OFFICIAL_SOURCE,Toshiba,Founded 1875
study-0210,unisys.com,Long-running companies,https://unisys.com,OFFICIAL_SOURCE,Unisys,Founded 1886
study-0211,alpinelinux.org,Open-source/project sites,https://alpinelinux.org,OPEN_SOURCE_PROJECT,Alpine Linux,Lightweight Linux
study-0212,audacityteam.org,Open-source/project sites,https://audacityteam.org,OPEN_SOURCE_PROJECT,Audacity,Audio Editor
study-0213,bash.org,Open-source/project sites,https://bash.org,OPEN_SOURCE_PROJECT,Bash,Unix Shell
study-0214,blender.org,Open-source/project sites,https://blender.org,OPEN_SOURCE_PROJECT,Blender,3D Suite
study-0215,boost.org,Open-source/project sites,https://boost.org,OPEN_SOURCE_PROJECT,Boost C++ Libraries,Peer-Reviewed C++
study-0216,cherokee-project.com,Open-source/project sites,https://cherokee-project.com,OPEN_SOURCE_PROJECT,Cherokee Web Server,Fast Web Server
study-0217,cilium.io,Open-source/project sites,https://cilium.io,OPEN_SOURCE_PROJECT,Cilium,eBPF-based Networking
study-0218,codeberg.org,Open-source/project sites,https://codeberg.org,OPEN_SOURCE_PROJECT,Codeberg,Free Software Collaboration
study-0219,couchdb.apache.org,Open-source/project sites,https://couchdb.apache.org,OPEN_SOURCE_PROJECT,Apache CouchDB,NoSQL Database
study-0220,crystal-lang.org,Open-source/project sites,https://crystal-lang.org,OPEN_SOURCE_PROJECT,Crystal Programming Language,Fast Compiled Language
study-0221,ffmpeg.org,Open-source/project sites,https://ffmpeg.org,OPEN_SOURCE_PROJECT,FFmpeg,Media Framework
study-0222,fltk.org,Open-source/project sites,https://fltk.org,OPEN_SOURCE_PROJECT,FLTK,Fast Light Toolkit
study-0223,gnome.org,Open-source/project sites,https://gnome.org,OPEN_SOURCE_PROJECT,GNOME,Founded 1997
study-0224,golang.org,Open-source/project sites,https://golang.org,OPEN_SOURCE_PROJECT,Go,Go Project
study-0225,gtk.org,Open-source/project sites,https://gtk.org,OPEN_SOURCE_PROJECT,GTK Toolkit,GUI Toolkit
study-0226,haproxy.org,Open-source/project sites,https://haproxy.org,OPEN_SOURCE_PROJECT,HAProxy,Load Balancer
study-0227,haskell.org,Open-source/project sites,https://haskell.org,OPEN_SOURCE_PROJECT,Haskell,Language Committee
study-0228,home-assistant.io,Open-source/project sites,https://home-assistant.io,OPEN_SOURCE_PROJECT,Home Assistant,Home Automation
study-0229,httpd.apache.org,Open-source/project sites,https://httpd.apache.org,OPEN_SOURCE_PROJECT,Apache HTTP,Web Server
study-0230,inkscape.org,Open-source/project sites,https://inkscape.org,OPEN_SOURCE_PROJECT,Inkscape,Vector Editor
study-0231,istio.io,Open-source/project sites,https://istio.io,OPEN_SOURCE_PROJECT,Istio,Service Mesh
study-0232,jaegertracing.io,Open-source/project sites,https://jaegertracing.io,OPEN_SOURCE_PROJECT,Jaeger,Distributed Tracing
study-0233,kafka.apache.org,Open-source/project sites,https://kafka.apache.org,OPEN_SOURCE_PROJECT,Apache Kafka,Event Streaming Platform
study-0234,keepass.info,Open-source/project sites,https://keepass.info,OPEN_SOURCE_PROJECT,KeePass,Password Safe
study-0235,llvm.org,Open-source/project sites,https://llvm.org,OPEN_SOURCE_PROJECT,LLVM,Compiler Project
study-0236,netbsd.org,Open-source/project sites,https://netbsd.org,OPEN_SOURCE_PROJECT,NetBSD,Founded 1993
study-0237,nextcloud.com,Open-source/project sites,https://nextcloud.com,OPEN_SOURCE_PROJECT,Nextcloud,Productivity Platform
study-0238,nginx.org,Open-source/project sites,https://nginx.org,OPEN_SOURCE_PROJECT,nginx,Web Server
study-0239,nodejs.org,Open-source/project sites,https://nodejs.org,OPEN_SOURCE_PROJECT,Node.js,JavaScript Runtime Environment
study-0240,openresty.org,Open-source/project sites,https://openresty.org,OPEN_SOURCE_PROJECT,OpenResty,Web Platform
study-0241,pfsense.org,Open-source/project sites,https://pfsense.org,OPEN_SOURCE_PROJECT,pfSense,Firewall
study-0242,phpbb.com,Open-source/project sites,https://phpbb.com,OPEN_SOURCE_PROJECT,phpBB,Bulletin Board
study-0243,proxmox.com,Open-source/project sites,https://proxmox.com,OPEN_SOURCE_PROJECT,Proxmox,Open Source Server Solutions
study-0244,redis.io,Open-source/project sites,https://redis.io,OPEN_SOURCE_PROJECT,Redis,Data Store
study-0245,solr.apache.org,Open-source/project sites,https://solr.apache.org,OPEN_SOURCE_PROJECT,Apache Solr,Enterprise Search Platform
study-0246,sqlite.org,Open-source/project sites,https://sqlite.org,OPEN_SOURCE_PROJECT,SQLite,Embedded DB
study-0247,squid-cache.org,Open-source/project sites,https://squid-cache.org,OPEN_SOURCE_PROJECT,Squid Cache,Caching Proxy
study-0248,subversion.apache.org,Open-source/project sites,https://subversion.apache.org,OPEN_SOURCE_PROJECT,Subversion,Version Control
study-0249,traefik.io,Open-source/project sites,https://traefik.io,OPEN_SOURCE_PROJECT,Traefik,Cloud Native Application Proxy
study-0250,ubuntu.com,Open-source/project sites,https://ubuntu.com,OPEN_SOURCE_PROJECT,Ubuntu,Canonical
study-0251,vim.org,Open-source/project sites,https://vim.org,OPEN_SOURCE_PROJECT,Vim,Text Editor
study-0252,vlang.io,Open-source/project sites,https://vlang.io,OPEN_SOURCE_PROJECT,The V Programming Language,Simple Fast Compiled Language
study-0253,wireguard.com,Open-source/project sites,https://wireguard.com,OPEN_SOURCE_PROJECT,WireGuard,VPN Protocol
study-0254,x.org,Open-source/project sites,https://x.org,OPEN_SOURCE_PROJECT,X.Org Foundation,X Window System
