pilot_id,domain,category,canonical_url,source_type,source_name,source_reference
pilot-0090,okfn.org,Nonprofits,https://okfn.org,PUBLIC_DIRECTORY,Open Knowledge Foundation,Open Data NGO
pilot-0091,opensocietyfoundations.org,Nonprofits,https://opensocietyfoundations.org,PUBLIC_DIRECTORY,Open Society Foundations,Philanthropy
pilot-0092,openstack.org,Nonprofits,https://openstack.org,PUBLIC_DIRECTORY,OpenInfra Foundation,Open Infrastructure Foundation
pilot-0093,rockefellerfoundation.org,Nonprofits,https://rockefellerfoundation.org,PUBLIC_DIRECTORY,Rockefeller Foundation,Philanthropy
pilot-0094,rotary.org,Nonprofits,https://rotary.org,PUBLIC_DIRECTORY,Rotary International,Service Org
pilot-0095,sipri.org,Nonprofits,https://sipri.org,PUBLIC_DIRECTORY,SIPRI,Peace Research
pilot-0096,un.org,Nonprofits,https://un.org,PUBLIC_DIRECTORY,United Nations,Intergovernmental Org
pilot-0097,unesco.org,Nonprofits,https://unesco.org,PUBLIC_DIRECTORY,UNESCO,UN Agency
pilot-0098,unicef.org,Nonprofits,https://unicef.org,PUBLIC_DIRECTORY,UNICEF,UN Agency
pilot-0099,wri.org,Nonprofits,https://wri.org,PUBLIC_DIRECTORY,World Resources Institute,Research Org
pilot-0100,wwf.org,Nonprofits,https://wwf.org,PUBLIC_DIRECTORY,WWF,Global Conservation
pilot-0101,7-zip.org,Open-source/project sites,https://7-zip.org,OPEN_SOURCE_PROJECT,7-Zip,Archiver
pilot-0102,archlinux.org,Open-source/project sites,https://archlinux.org,OPEN_SOURCE_PROJECT,Arch Linux,Rolling Release
pilot-0103,caddyserver.com,Open-source/project sites,https://caddyserver.com,OPEN_SOURCE_PROJECT,Caddy Web Server,Automatic HTTPS Web Server
pilot-0104,clojure.org,Open-source/project sites,https://clojure.org,OPEN_SOURCE_PROJECT,Clojure,Clojure Portal
pilot-0105,envoyproxy.io,Open-source/project sites,https://envoyproxy.io,OPEN_SOURCE_PROJECT,Envoy Proxy,Service and Edge Proxy
pilot-0106,erlang.org,Open-source/project sites,https://erlang.org,OPEN_SOURCE_PROJECT,Erlang,Ericsson Open Source
pilot-0107,gentoo.org,Open-source/project sites,https://gentoo.org,OPEN_SOURCE_PROJECT,Gentoo,Source-Based
pilot-0108,git-scm.com,Open-source/project sites,https://git-scm.com,OPEN_SOURCE_PROJECT,Git,Version Control
pilot-0109,golang.org,Open-source/project sites,https://golang.org,OPEN_SOURCE_PROJECT,Go,Go Project
pilot-0110,handbrake.fr,Open-source/project sites,https://handbrake.fr,OPEN_SOURCE_PROJECT,HandBrake,Video Transcoder
pilot-0111,kde.org,Open-source/project sites,https://kde.org,OPEN_SOURCE_PROJECT,KDE,Founded 1996
pilot-0112,keepass.info,Open-source/project sites,https://keepass.info,OPEN_SOURCE_PROJECT,KeePass,Password Safe
pilot-0113,libsdl.org,Open-source/project sites,https://libsdl.org,OPEN_SOURCE_PROJECT,SDL,Multimedia Development
pilot-0114,lua.org,Open-source/project sites,https://lua.org,OPEN_SOURCE_PROJECT,Lua,PUC-Rio
pilot-0115,mattermost.com,Open-source/project sites,https://mattermost.com,OPEN_SOURCE_PROJECT,Mattermost,Collaboration Platform
pilot-0116,mercurial-scm.org,Open-source/project sites,https://mercurial-scm.org,OPEN_SOURCE_PROJECT,Mercurial,Version Control
pilot-0117,netbsd.org,Open-source/project sites,https://netbsd.org,OPEN_SOURCE_PROJECT,NetBSD,Founded 1993
pilot-0118,openhab.org,Open-source/project sites,https://openhab.org,OPEN_SOURCE_PROJECT,openHAB,Smart Home
pilot-0119,openresty.org,Open-source/project sites,https://openresty.org,OPEN_SOURCE_PROJECT,OpenResty,Web Platform
pilot-0120,opensuse.org,Open-source/project sites,https://opensuse.org,OPEN_SOURCE_PROJECT,openSUSE,Community Linux
pilot-0121,python.org,Open-source/project sites,https://python.org,OPEN_SOURCE_PROJECT,Python,PSF Official
pilot-0122,solr.apache.org,Open-source/project sites,https://solr.apache.org,OPEN_SOURCE_PROJECT,Apache Solr,Enterprise Search Platform
pilot-0123,spark.apache.org,Open-source/project sites,https://spark.apache.org,OPEN_SOURCE_PROJECT,Apache Spark,Unified Analytics Engine
pilot-0124,squid-cache.org,Open-source/project sites,https://squid-cache.org,OPEN_SOURCE_PROJECT,Squid Cache,Caching Proxy
pilot-0125,terraform.io,Open-source/project sites,https://terraform.io,OPEN_SOURCE_PROJECT,Terraform,Infrastructure as Code
pilot-0126,tmux.github.io,Open-source/project sites,https://tmux.github.io,OPEN_SOURCE_PROJECT,tmux,Terminal Tool
pilot-0127,varnish-cache.org,Open-source/project sites,https://varnish-cache.org,OPEN_SOURCE_PROJECT,Varnish Cache,HTTP Reverse Proxy
pilot-0128,virtualbox.org,Open-source/project sites,https://virtualbox.org,OPEN_SOURCE_PROJECT,VirtualBox,Virtualization
pilot-0129,wxwidgets.org,Open-source/project sites,https://wxwidgets.org,OPEN_SOURCE_PROJECT,wxWidgets,GUI Toolkit
pilot-0130,xmpp.org,Open-source/project sites,https://xmpp.org,OPEN_SOURCE_PROJECT,XMPP,Messaging Protocol
pilot-0131,68k.news,Personal/independent sites,https://68k.news,PUBLIC_DIRECTORY,68k.news,Vintage News Reader
pilot-0132,brandur.org,Personal/independent sites,https://brandur.org,PUBLIC_DIRECTORY,Brandur Leach,Systems & Postgres Engineering
pilot-0133,brucelawson.co.uk,Personal/independent sites,https://brucelawson.co.uk,PUBLIC_DIRECTORY,Bruce Lawson,Open Web Standards
pilot-0134,craphound.com,Personal/independent sites,https://craphound.com,PUBLIC_DIRECTORY,Cory Doctorow,Author Site
pilot-0135,csszengarden.com,Personal/independent sites,https://csszengarden.com,PUBLIC_DIRECTORY,CSS Zen Garden,CSS Design Demonstration
pilot-0136,ctrl-c.club,Personal/independent sites,https://ctrl-c.club,PUBLIC_DIRECTORY,Ctrl-C Club,Tilde Community
pilot-0137,danluu.com,Personal/independent sites,https://danluu.com,PUBLIC_DIRECTORY,Dan Luu,Hardware & Software Essays
pilot-0138,fasterthanli.me,Personal/independent sites,https://fasterthanli.me,PUBLIC_DIRECTORY,Amos Wenger,Deep-Dive Rust & Systems
pilot-0139,folklore.org,Personal/independent sites,https://folklore.org,PUBLIC_DIRECTORY,Folklore.org,Macintosh Archive
pilot-0140,hyperorg.com,Personal/independent sites,https://hyperorg.com,PUBLIC_DIRECTORY,David Weinberger,Cluetrain Co-Author Weblog
pilot-0141,interconnected.org,Personal/independent sites,https://interconnected.org,PUBLIC_DIRECTORY,Interconnected,Matt Webb Weblog
pilot-0142,joelonsoftware.com,Personal/independent sites,https://joelonsoftware.com,PUBLIC_DIRECTORY,Joel on Software,Software Management Blog
pilot-0143,lesswrong.com,Personal/independent sites,https://lesswrong.com,PUBLIC_DIRECTORY,LessWrong,Decision Theory Community
pilot-0144,lobste.rs,Personal/independent sites,https://lobste.rs,PUBLIC_DIRECTORY,Lobsters,Computing Aggregator
pilot-0145,mataroa.blog,Personal/independent sites,https://mataroa.blog,PUBLIC_DIRECTORY,Mataroa,Minimalist Blog
pilot-0146,meyerweb.com,Personal/independent sites,https://meyerweb.com,PUBLIC_DIRECTORY,meyerweb.com,Eric Meyer Web Standards
pilot-0147,modwiggler.com,Personal/independent sites,https://modwiggler.com,PUBLIC_DIRECTORY,Mod Wiggler,Modular Synthesizers
pilot-0148,redblobgames.com,Personal/independent sites,https://redblobgames.com,PUBLIC_DIRECTORY,Red Blob Games,Game Math Algorithms
pilot-0149,scottaaronson.blog,Personal/independent sites,https://scottaaronson.blog,PUBLIC_DIRECTORY,Scott Aaronson,Quantum Computing & Complexity
pilot-0150,slashdot.org,Personal/independent sites,https://slashdot.org,PUBLIC_DIRECTORY,Slashdot,News for Nerds
pilot-0151,spacejam.com,Personal/independent sites,https://spacejam.com,PUBLIC_DIRECTORY,Space Jam,1996 Web Artifact
pilot-0152,steve-yegge.blogspot.com,Personal/independent sites,https://steve-yegge.blogspot.com,PUBLIC_DIRECTORY,Steve Yegge,Historic Essays
pilot-0153,suckless.org,Personal/independent sites,https://suckless.org,PUBLIC_DIRECTORY,suckless.org,Minimalist Software
pilot-0154,tedunangst.com,Personal/independent sites,https://tedunangst.com,PUBLIC_DIRECTORY,Ted Unangst,Developer Blog
pilot-0155,tilde.team,Personal/independent sites,https://tilde.team,PUBLIC_DIRECTORY,Tilde.Team,Unix Community
pilot-0156,tildeverse.org,Personal/independent sites,https://tildeverse.org,PUBLIC_DIRECTORY,Tildeverse,Tilde Communities
pilot-0157,timvieira.github.io,Personal/independent sites,https://timvieira.github.io,PUBLIC_DIRECTORY,Tim Vieira,Machine Learning & Optimization Notes
pilot-0158,troyhunt.com,Personal/independent sites,https://troyhunt.com,PUBLIC_DIRECTORY,Troy Hunt,Security Blog
pilot-0159,waxy.org,Personal/independent sites,https://waxy.org,PUBLIC_DIRECTORY,Waxy.org,Independent Blog
pilot-0160,zeldman.com,Personal/independent sites,https://zeldman.com,PUBLIC_DIRECTORY,zeldman.com,Jeffrey Zeldman Weblog
pilot-0161,abertay.ac.uk,Universities,https://abertay.ac.uk,PUBLIC_DATASET,Abertay University,HESA UK
pilot-0162,bath.ac.uk,Universities,https://bath.ac.uk,PUBLIC_DATASET,University of Bath,HESA UK
pilot-0163,baylor.edu,Universities,https://baylor.edu,PUBLIC_DATASET,Baylor University,US IPEDS
pilot-0164,bbk.ac.uk,Universities,https://bbk.ac.uk,PUBLIC_DATASET,Birkbeck,HESA UK
pilot-0165,cardiffmet.ac.uk,Universities,https://cardiffmet.ac.uk,PUBLIC_DATASET,Cardiff Metropolitan University,HESA UK
pilot-0166,case.edu,Universities,https://case.edu,PUBLIC_DATASET,Case Western Reserve University,US IPEDS
pilot-0167,clemson.edu,Universities,https://clemson.edu,PUBLIC_DATASET,Clemson University,US IPEDS
pilot-0168,colorado.edu,Universities,https://colorado.edu,PUBLIC_DATASET,CU Boulder,US IPEDS
pilot-0169,cuny.edu,Universities,https://cuny.edu,PUBLIC_DATASET,CUNY System,US IPEDS
pilot-0170,ecu.edu,Universities,https://ecu.edu,PUBLIC_DATASET,East Carolina University,US IPEDS
pilot-0171,ed.ac.uk,Universities,https://ed.ac.uk,PUBLIC_DATASET,University of Edinburgh,HESA UK
pilot-0172,furman.edu,Universities,https://furman.edu,PUBLIC_DATASET,Furman University,US IPEDS
pilot-0173,harvard.edu,Universities,https://harvard.edu,PUBLIC_DATASET,Harvard University,US IPEDS
pilot-0174,hofstra.edu,Universities,https://hofstra.edu,PUBLIC_DATASET,Hofstra University,US IPEDS
pilot-0175,hull.ac.uk,Universities,https://hull.ac.uk,PUBLIC_DATASET,University of Hull,HESA UK
pilot-0176,jhu.edu,Universities,https://jhu.edu,PUBLIC_DATASET,Johns Hopkins University,US IPEDS
pilot-0177,kcl.ac.uk,Universities,https://kcl.ac.uk,PUBLIC_DATASET,King's College London,HESA UK
pilot-0178,lehigh.edu,Universities,https://lehigh.edu,PUBLIC_DATASET,Lehigh University,US IPEDS
pilot-0179,lemoine.edu,Universities,https://lemoine.edu,PUBLIC_DATASET,Le Moyne College,US IPEDS
pilot-0180,nau.edu,Universities,https://nau.edu,PUBLIC_DATASET,Northern Arizona University,US IPEDS
pilot-0181,ncsu.edu,Universities,https://ncsu.edu,PUBLIC_DATASET,NC State University,US IPEDS
pilot-0182,qub.ac.uk,Universities,https://qub.ac.uk,PUBLIC_DATASET,Queen's University Belfast,HESA UK
pilot-0183,reading.ac.uk,Universities,https://reading.ac.uk,PUBLIC_DATASET,University of Reading,HESA UK
pilot-0184,salford.ac.uk,Universities,https://salford.ac.uk,PUBLIC_DATASET,University of Salford,HESA UK
pilot-0185,stjohns.edu,Universities,https://stjohns.edu,PUBLIC_DATASET,St. John's University,US IPEDS
pilot-0186,ua.edu,Universities,https://ua.edu,PUBLIC_DATASET,University of Alabama,US IPEDS
pilot-0187,uci.edu,Universities,https://uci.edu,PUBLIC_DATASET,UC Irvine,US IPEDS
pilot-0188,uel.ac.uk,Universities,https://uel.ac.uk,PUBLIC_DATASET,University of East London,HESA UK
pilot-0189,ufl.edu,Universities,https://ufl.edu,PUBLIC_DATASET,University of Florida,US IPEDS
pilot-0190,uidaho.edu,Universities,https://uidaho.edu,PUBLIC_DATASET,University of Idaho,US IPEDS
pilot-0191,uncg.edu,Universities,https://uncg.edu,PUBLIC_DATASET,UNC Greensboro,US IPEDS
pilot-0192,unf.edu,Universities,https://unf.edu,PUBLIC_DATASET,UNF,US IPEDS
pilot-0193,unlv.edu,Universities,https://unlv.edu,PUBLIC_DATASET,UNLV,US IPEDS
pilot-0194,upenn.edu,Universities,https://upenn.edu,PUBLIC_DATASET,University of Pennsylvania,US IPEDS
pilot-0195,utk.edu,Universities,https://utk.edu,PUBLIC_DATASET,University of Tennessee,US IPEDS
pilot-0196,vanderbilt.edu,Universities,https://vanderbilt.edu,PUBLIC_DATASET,Vanderbilt University,US IPEDS
pilot-0197,virginia.edu,Universities,https://virginia.edu,PUBLIC_DATASET,University of Virginia,US IPEDS
pilot-0198,vmi.edu,Universities,https://vmi.edu,PUBLIC_DATASET,VMI,US IPEDS
pilot-0199,warwick.ac.uk,Universities,https://warwick.ac.uk,PUBLIC_DATASET,University of Warwick,HESA UK
pilot-0200,wlu.edu,Universities,https://wlu.edu,PUBLIC_DATASET,Washington and Lee University,US IPEDS
